1,NOM1,PRENOM1,282
2,NOM2,PRENOM2,273
3,NOM3,PRENOM3,236
4,NOM4,PRENOM4,299
5,NOM5,PRENOM5,212
6,NOM6,PRENOM6,280
7,NOM7,PRENOM7,299
8,NOM8,PRENOM8,210
9,NOM9,PRENOM9,252
10,NOM10,PRENOM10,211
11,NOM11,PRENOM11,227
12,NOM12,PRENOM12,216
13,NOM13,PRENOM13,245
14,NOM14,PRENOM14,266
15,NOM15,PRENOM15,216
16,NOM16,PRENOM16,227
17,NOM17,PRENOM17,243
18,NOM18,PRENOM18,238
19,NOM19,PRENOM19,256
20,NOM20,PRENOM20,232
21,NOM21,PRENOM21,270
22,NOM22,PRENOM22,201
23,NOM23,PRENOM23,295
24,NOM24,PRENOM24,246
25,NOM25,PRENOM25,260
26,NOM26,PRENOM26,201
27,NOM27,PRENOM27,256
28,NOM28,PRENOM28,204
29,NOM29,PRENOM29,295
30,NOM30,PRENOM30,297
